"Star Wars: Episode I - The Phantom Menace' ,"
"'The Sixth Sense' ,"
"'Toy Story 2' ,"
"'Austin Powers: The Spy Who Shagged Me' ,"
"'The Matrix' ,"
"'Tarzan' ,"
"'Big Daddy' ,"
"'The Mummy' ,"
"'Runaway Bride' ,"
"'The Blair Witch Project' ,"
"'Stuart Little' ,"
"'The Green Mile' ,"
"'American Beauty' ,"
"'The World Is Not Enough' ,"
"'Double Jeopardy' ,"
"'Notting Hill' ,"
"'Wild Wild West' ,"
"'Analyze This' ,"
"'The Generals Daughter' ,"
"'American Pie' ,"
"'Sleepy Hollow' ,"
"'Inspector Gadget' ,"
"'The Haunting' ,"
"'Entrapment' ,"
"'Pokemon: The First Movie' ,"
"'Payback' ,"
"'The Talented Mr. Ripley' ,"
"'Any Given Sunday' ,"
"'Deep Blue Sea' ,"
"'Galaxy Quest' ,"
"'The Thomas Crown Affair' ,"
"'Blue Streak' ,"
"'End of Days' ,"
"'The Bone Collector' ,"
"'Bowfinger' ,"
"'Deuce Bigalow: Male Gigolo' ,"
"'Life' ,"
"'Shes All That' ,"
"'Three Kings' ,"
"'Bicentennial Man' ,"
"'The Cider House Rules' ,"
"'Eyes Wide Shut' ,"
"'Never Been Kissed' ,"
"'Varsity Blues' ,"
"'Forces of Nature' ,"
"'Message in a Bottle' ,"
"'South Park - Bigger, Longer and Uncut' ,"
"'The Hurricane' ,"
"'Stigmata' ,"
"'House on Haunted Hill' ,"
"'Anna and the King' ,"
"'Cruel Intentions' ,"
"'10 Things I Hate About You' ,"
"'Fight Club' ,"
"'My Favorite Martian' ,"
"'8MM' ,"
"'For Love of the Game' ,"
"'Man on the Moon' ,"
"'Instinct' ,"
"'The Best Man' ,"
"'Mickey Blue Eyes' ,"
"'The 13th Warrior' ,"
"'October Sky' ,"
"'Lake Placid' ,"
"'Random Hearts' ,"
"'Dogma' ,"
"'Superstar' ,"
"'Mystery Men' ,"
"'The Insider' ,"
"'Girl, Interrupted' ,"
"'The Out-of-Towners' ,"
"'The Other Sister' ,"
"'Baby Geniuses' ,"
"'The Story of Us' ,"
"'Blast from the Past' ,"
"'The Wood' ,"
"'Arlington Road' ,"
"'The Iron Giant' ,"
"'Being John Malkovich' ,"
"'Magnolia' ,"
"'EDtv' ,"
"'At First Sight' ,"
"'The Bachelor' ,"
"'Stir of Echoes' ,"
"'Dougs First Movie' ,"
"'Summer of Sam' ,"
"'Anywhere But Here' ,"
"'Galapagos (IMAX)' ,"
"'An Ideal Husband' ,"
"'Drive Me Crazy' ,"
"'The Rage: Carrie 2' ,"
"'Go' ,"
"'Bringing Out the Dead' ,"
"'True Crime' ,"
"'Muppets from Space' ,"
"'A Midsummer Nights Dream' ,"
"'The Corruptor' ,"
"'Election' ,"
"'Music of the Heart' ,"
"'Snow Falling on Cedars' ,"
"'How the Grinch Stole Christmas' ,"
"'Cast Away' ,"
"'Mission: Impossible II' ,"
"'Gladiator' ,"
"'What Women Want' ,"
"'The Perfect Storm' ,"
"'Meet the Parents' ,"
"'X-Men' ,"
"'Scary Movie' ,"
"'What Lies Beneath' ,"
"'Dinosaur' ,"
"'Crouching Tiger, Hidden Dragon' ,"
"'Erin Brockovich' ,"
"'Charlies Angels' ,"
"'Traffic' ,"
"'The Nutty Professor II: The Klumps' ,"
"'Big Mommas House' ,"
"'Remember the Titans' ,"
"'The Patriot' ,"
"'Chicken Run' ,"
"'Miss Congeniality' ,"
"'Gone in 60 Seconds' ,"
"'Unbreakable' ,"
"'Me, Myself and Irene' ,"
"'Space Cowboys' ,"
"'The Emperors New Groove' ,"
"'Scream 3' ,"
"'U-571' ,"
"'Rugrats in Paris: The Movie' ,"
"'The Family Man' ,"
"'Hollow Man' ,"
"'Chocolat' ,"
"'Shaft' ,"
"'Disneys The Kid' ,"
"'Vertical Limit' ,"
"'Road Trip' ,"
"'Bring It On' ,"
"'102 Dalmatians' ,"
"'Rules of Engagement' ,"
"'The Cell' ,"
"'Mission to Mars' ,"
"'Coyote Ugly' ,"
"'Fantasia 2000 (35mm & IMAX)' ,"
"'Snow Day' ,"
"'Next Friday' ,"
"'The Whole Nine Yards' ,"
"'Shanghai Noon' ,"
"'Romeo Must Die' ,"
"'Final Destination' ,"
"'Fantasia 2000 (IMAX)' ,"
"'Finding Forrester' ,"
"'The Road to El Dorado' ,"
"'Men of Honor' ,"
"'Dude, Wheres My Car?' ,"
"'The Tigger Movie' ,"
"'O Brother, Where Art Thou?' ,"
"'Frequency' ,"
"'The Replacements' ,"
"'Pokemon: The Movie 2000' ,"
"'The Beach' ,"
"'The Exorcist Directors Cut' ,"
"'Little Nicky' ,"
"'Pitch Black' ,"
"'The Original Kings of Comedy' ,"
"'Bedazzled ' ,"
"'Autumn in New York' ,"
"'28 Days' ,"
"'Keeping the Faith' ,"
"'Bounce' ,"
"'Hanging Up' ,"
"'The Flintstones in Viva Rock Vegas' ,"
"'The Skulls' ,"
"'The 6th Day' ,"
"'Thirteen Days' ,"
"'My Dog Skip' ,"
"'Where the Heart Is' ,"
"'Pay It Forward' ,"
"'Dracula 2000' ,"
"'Return to Me' ,"
"'Proof of Life' ,"
"'Almost Famous' ,"
"'The Legend of Bagger Vance' ,"
"'Snatch' ,"
"'The Art of War' ,"
"'Bless the Child' ,"
"'The Watcher' ,"
"'Love & Basketball' ,"
"'High Fidelity' ,"
"'Book of Shadows: Blair Witch 2' ,"
"'The Adventures of Rocky & Bullwinkle' ,"
"'Nurse Betty' ,"
"'Reindeer Games' ,"
"'Titan A.E.' ,"
"'Billy Elliot' ,"
"'Boys and Girls' ,"
"'Battlefield Earth' ,"
"'Urban Legends: Final Cut' ,"
"'Down to You' ,"
"'Wonder Boys' ,"
"'Best in Show' ,"
"'Harry Potter and the Sorcerers Stone' ,"
"'The Lord of the Rings: The Fellowship of the Ring' ,"
"'Shrek' ,"
"'Monsters, Inc.' ,"
"'Rush Hour 2' ,"
"'The Mummy Returns' ,"
"'Pearl Harbor' ,"
"'Oceans Eleven' ,"
"'Jurassic Park III' ,"
"'Planet of the Apes ' ,"
"'A Beautiful Mind' ,"
"'Hannibal' ,"
"'American Pie 2' ,"
"'The Fast and the Furious' ,"
"'Lara Croft: Tomb Raider' ,"
"'Dr. Dolittle 2' ,"
"'Spy Kids' ,"
"'Black Hawk Down' ,"
"'The Princess Diaries' ,"
"'Vanilla Sky' ,"
"'The Others' ,"
"'Legally Blonde' ,"
"'Americas Sweethearts' ,"
"'Cats & Dogs' ,"
"'Save the Last Dance' ,"
"'Atlantis: The Lost Empire' ,"
"'Jimmy Neutron: Boy Genius' ,"
"'A.I. Artificial Intelligence' ,"
"'Training Day' ,"
"'Along Came a Spider' ,"
"'Bridget Joness Diary' ,"
"'Scary Movie 2' ,"
"'The Score' ,"
"'Shallow Hal' ,"
"'Swordfish' ,"
"'The Mexican' ,"
"'Down to Earth' ,"
"'Spy Game' ,"
"'The Wedding Planner' ,"
"'Behind Enemy Lines' ,"
"'Ali' ,"
"'The Animal' ,"
"'Moulin Rouge!' ,"
"'Rat Race' ,"
"'A Knights Tale' ,"
"'Dont Say a Word' ,"
"'Blow' ,"
"'The Royal Tenenbaums' ,"
"'Exit Wounds' ,"
"'Enemy at the Gates' ,"
"'K-PAX' ,"
"'Serendipity' ,"
"'Kate and Leopold' ,"
"'Domestic Disturbance' ,"
"'Zoolander' ,"
"'The One' ,"
"'Thirteen Ghosts' ,"
"'Bandits' ,"
"'Gosford Park' ,"
"'Heartbreakers' ,"
"'I Am Sam' ,"
"'Hardball' ,"
"'Evolution' ,"
"'Not Another Teen Movie' ,"
"'Jeepers Creepers' ,"
"'Kiss of the Dragon' ,"
"'Recess: Schools Out' ,"
"'In the Bedroom' ,"
"'Black Knight' ,"
"'See Spot Run' ,"
"'Amelie' ,"
"'Driven' ,"
"'Whats the Worst That Could Happen?' ,"
"'Final Fantasy: The Spirits Within' ,"
"'From Hell' ,"
"'Monsters Ball' ,"
"'How High' ,"
"'Riding in Cars with Boys' ,"
"'Jay and Silent Bob Strike Back' ,"
"'Double Take' ,"
"'Baby Boy' ,"
"'The Majestic' ,"
"'The Brothers' ,"
"'Someone Like You' ,"
"'Joe Dirt' ,"
"'The Musketeer' ,"
"'Crocodile Dundee in Los Angeles' ,"
"'Memento' ,"
"'Captain Corellis Mandolin' ,"
"'Sweet November' ,"
"'15 Minutes' ,"
"'Hearts in Atlantis' ,"
"'Angel Eyes' ,"
"'Corky Romano' ,"
"'Heist' ,"
"'Kingdom Come' ,"
"'Joe Somebody' ,"
"'Two Can Play That Game' ,"
"'Joy Ride' ,"
"'Valentine' ,"
"'Spider-Man' ,"
"'The Lord of the Rings: The Two Towers' ,"
"'Star Wars: Episode II - Attack of the Clones' ,"
"'Harry Potter and the Chamber of Secrets' ,"
"'My Big Fat Greek Wedding' ,"
"'Signs' ,"
"'Austin Powers in Goldmember' ,"
"'Men in Black II' ,"
"'Ice Age' ,"
"'Chicago' ,"
"'Catch Me If You Can' ,"
"'Die Another Day' ,"
"'Scooby-Doo' ,"
"'Lilo & Stitch' ,"
"'XXX' ,"
"'The Santa Clause 2' ,"
"'Minority Report' ,"
"'The Ring' ,"
"'Sweet Home Alabama' ,"
"'Mr. Deeds' ,"
"'The Bourne Identity' ,"
"'The Sum of All Fears' ,"
"'8 Mile' ,"
"'Road to Perdition' ,"
"'Panic Room' ,"
"'Maid in Manhattan' ,"
"'Space Station 3-D (IMAX)' ,"
"'Two Weeks Notice' ,"
"'Red Dragon' ,"
"'The Scorpion King' ,"
"'Spy Kids 2: The Island of Lost Dreams' ,"
"'Blade II' ,"
"'Snow Dogs' ,"
"'We Were Soldiers' ,"
"'Gangs of New York' ,"
"'Barbershop' ,"
"'The Rookie' ,"
"'Spirit: Stallion of the Cimarron' ,"
"'John Q.' ,"
"'Divine Secrets of the Ya-Ya Sisterhood' ,"
"'Insomnia' ,"
"'Changing Lanes' ,"
"'About Schmidt' ,"
"'Stuart Little 2' ,"
"'Jackass: The Movie' ,"
"'The Time Machine' ,"
"'Drumline' ,"
"'The Count of Monte Cristo' ,"
"'Unfaithful' ,"
"'Like Mike' ,"
"'The Tuxedo' ,"
"'Return to Never Land' ,"
"'Big Fat Liar' ,"
"'Star Trek: Nemesis' ,"
"'Reign of Fire' ,"
"'The Hours' ,"
"'High Crimes' ,"
"'About a Boy' ,"
"'A Walk to Remember' ,"
"'Orange County' ,"
"'Windtalkers' ,"
"'Blue Crush' ,"
"'The Master of Disguise' ,"
"'Resident Evil' ,"
"'The Wild Thornberrys' ,"
"'Collateral Damage' ,"
"'Enough' ,"
"'Undercover Brother' ,"
"'Treasure Planet' ,"
"'Showtime' ,"
"'40 Days and 40 Nights' ,"
"'Crossroads' ,"
"'Clockstoppers' ,"
"'The Mothman Prophecies' ,"
"'E.T. (20th Anniversary)' ,"
"'K-19: The Widowmaker' ,"
"'The Hot Chick' ,"
"'I Spy' ,"
"'Friday After Next' ,"
"'The Pianist' ,"
"'Analyze That' ,"
"'Murder by Numbers' ,"
"'One Hour Photo' ,"
"'Halloween: Resurrection' ,"
"'Queen of the Damned' ,"
"'Dragonfly' ,"
"'The Banger Sisters' ,"
"'Bad Company' ,"
"'Ghost Ship' ,"
"'The New Guy' ,"
"'SwimFan' ,"
"'The Crocodile Hunter: Collision Course' ,"
"'Brown Sugar' ,"
"'Blood Work' ,"
"'All About the Benjamins' ,"
"'Frida' ,"
"'Jonah: A VeggieTales Movie' ,"
"'Beauty and the Beast (IMAX)' ,"
"'The Transporter' ,"
"'The Sweetest Thing' ,"
"'The Lord of the Rings: The Return of the King' ,"
"'Finding Nemo' ,"
"'Pirates of the Caribbean: The Curse of the Black Pearl' ,"
"'The Matrix Reloaded' ,"
"'Bruce Almighty' ,"
"'X2: X-Men United' ,"
"'Elf' ,"
"'Terminator 3: Rise of the Machines' ,"
"'The Matrix Revolutions' ,"
"'Cheaper by the Dozen' ,"
"'Bad Boys II' ,"
"'Anger Management' ,"
"'Bringing Down the House' ,"
"'Hulk' ,"
"'2 Fast 2 Furious' ,"
"'Somethings Gotta Give' ,"
"'Seabiscuit' ,"
"'S.W.A.T.' ,"
"'Spy Kids 3D: Game Over' ,"
"'The Last Samurai' ,"
"'Freaky Friday' ,"
"'Scary Movie 3' ,"
"'The Italian Job' ,"
"'How to Lose a Guy in 10 Days' ,"
"'American Wedding' ,"
"'Daddy Day Care' ,"
"'Daredevil' ,"
"'The Cat in the Hat' ,"
"'Charlies Angels: Full Throttle' ,"
"'Cold Mountain' ,"
"'Master and Commander: The Far Side of the World' ,"
"'Legally Blonde 2: Red, White and Blonde' ,"
"'Mystic River' ,"
"'Brother Bear' ,"
"'Freddy Vs. Jason' ,"
"'School of Rock' ,"
"'The Texas Chainsaw Massacre' ,"
"'The Haunted Mansion' ,"
"'Old School' ,"
"'Kill Bill Vol. 1' ,"
"'Holes' ,"
"'Kangaroo Jack' ,"
"'Big Fish' ,"
"'The League of Extraordinary Gentlemen' ,"
"'Lara Croft Tomb Raider: The Cradle of Life' ,"
"'Mona Lisa Smile' ,"
"'Shanghai Knights' ,"
"'Bad Santa' ,"
"'Love Actually' ,"
"'Gothika' ,"
"'Open Range' ,"
"'Once Upon a Time in Mexico' ,"
"'Just Married' ,"
"'Paycheck' ,"
"'The Recruit' ,"
"'Radio' ,"
"'Identity' ,"
"'Underworld' ,"
"'Runaway Jury' ,"
"'Peter Pan' ,"
"'Agent Cody Banks' ,"
"'The Jungle Book 2' ,"
"'The Rundown' ,"
"'Final Destination 2' ,"
"'Phone Booth' ,"
"'28 Days Later' ,"
"'Lost in Translation' ,"
"'Tears of the Sun' ,"
"'Under the Tuscan Sun' ,"
"'The Lizzie McGuire Movie' ,"
"'Secondhand Lions' ,"
"'Out of Time' ,"
"'Rugrats Go Wild' ,"
"'Head of State' ,"
"'Good Boy!' ,"
"'Uptown Girls' ,"
"'Matchstick Men' ,"
"'National Security' ,"
"'What a Girl Wants' ,"
"'Jeepers Creepers 2' ,"
"'Intolerable Cruelty' ,"
"'Cradle 2 the Grave' ,"
"'Monster' ,"
"'Malibus Most Wanted' ,"
"'The Hunted' ,"
"'Stuck on You' ,"
"'Dreamcatcher' ,"
"'Darkness Falls' ,"
"'Bend It Like Beckham' ,"
"'The Core' ,"
"'Calendar Girls' ,"
"'Hollywood Homicide' ,"
"'Honey' ,"
"'The Fighting Temptations' ,"
"'Johnny English' ,"
"'The Missing' ,"
"'Basic' ,"
"'A Man Apart' ,"
"'Sinbad: Legend of the Seven Seas' ,"
"'Dumb and Dumberer: When Harry Met Lloyd' ,"
"'Shrek 2' ,"
"'Spider-Man 2' ,"
"'The Passion of the Christ' ,"
"'Meet the Fockers' ,"
"'The Incredibles' ,"
"'Harry Potter and the Prisoner of Azkaban' ,"
"'The Day After Tomorrow' ,"
"'The Bourne Supremacy' ,"
"'National Treasure' ,"
"'The Polar Express' ,"
"'Shark Tale' ,"
"'I, Robot' ,"
"'Troy' ,"
"'Oceans Twelve' ,"
"'50 First Dates' ,"
"'Van Helsing' ,"
"'Fahrenheit 9/11' ,"
"'Lemony Snickets A Series of Unfortunate Events' ,"
"'DodgeBall: A True Underdog Story' ,"
"'The Village' ,"
"'The Grudge' ,"
"'The Aviator' ,"
"'Collateral' ,"
"'Million Dollar Baby' ,"
"'The Princess Diaries 2: Royal Engagement' ,"
"'Starsky and Hutch' ,"
"'Along Came Polly' ,"
"'Mean Girls' ,"
"'The SpongeBob SquarePants Movie' ,"
"'Anchorman: The Legend of Ron Burgundy' ,"
"'Scooby-Doo 2: Monsters Unleashed' ,"
"'The Notebook' ,"
"'Alien Vs. Predator' ,"
"'Man on Fire' ,"
"'The Terminal' ,"
"'Garfield: The Movie' ,"
"'Ray' ,"
"'Ladder 49' ,"
"'Christmas with the Kranks' ,"
"'Sideways' ,"
"'White Chicks' ,"
"'Hidalgo' ,"
"'The Forgotten' ,"
"'Kill Bill Vol. 2' ,"
"'The Manchurian Candidate' ,"
"'Barbershop 2: Back in Business' ,"
"'Miracle' ,"
"'Friday Night Lights' ,"
"'Hellboy' ,"
"'The Stepford Wives' ,"
"'Dawn of the Dead' ,"
"'Without a Paddle' ,"
"'The Butterfly Effect' ,"
"'Shall We Dance' ,"
"'The Chronicles of Riddick' ,"
"'13 Going on 30' ,"
"'Saw' ,"
"'Hero' ,"
"'Blade: Trinity' ,"
"'King Arthur' ,"
"'Finding Neverland' ,"
"'A Cinderella Story' ,"
"'The Phantom of the Opera' ,"
"'Resident Evil: Apocalypse' ,"
"'Home on the Range' ,"
"'Fat Albert' ,"
"'Secret Window' ,"
"'Walking Tall' ,"
"'In Good Company' ,"
"'Napoleon Dynamite' ,"
"'Spanglish' ,"
"'Exorcist: The Beginning' ,"
"'You Got Served' ,"
"'Bridget Jones: The Edge of Reason' ,"
"'Catwoman' ,"
"'The Ladykillers' ,"
"'Sky Captain and the World of Tomorrow' ,"
"'Raising Helen' ,"
"'Taxi' ,"
"'Eternal Sunshine of the Spotless Mind' ,"
"'Alexander' ,"
"'Closer' ,"
"'The Punisher' ,"
"'Team America: World Police' ,"
"'Taking Lives' ,"
"'Anacondas: The Hunt for the Blood Orchid' ,"
"'Cellular' ,"
"'Johnson Family Vacation' ,"
"'Open Water' ,"
"'Confessions of a Teenage Drama Queen' ,"
"'After the Sunset' ,"
"'The Prince and Me' ,"
"'Garden State' ,"
"'Jersey Girl' ,"
"'Twisted' ,"
"'The Life Aquatic with Steve Zissou' ,"
"'Around the World in 80 Days' ,"
"'Agent Cody Banks 2: Destination London' ,"
"'Hotel Rwanda' ,"
"'Ella Enchanted' ,"
"'Star Wars: Episode III - Revenge of the Sith' ,"
"'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe' ,"
"'Harry Potter and the Goblet of Fire' ,"
"'War of the Worlds' ,"
"'King Kong' ,"
"'Wedding Crashers' ,"
"'Charlie and the Chocolate Factory' ,"
"'Batman Begins' ,"
"'Madagascar' ,"
"'Mr. & Mrs. Smith' ,"
"'Hitch' ,"
"'The Longest Yard' ,"
"'Fantastic Four ' ,"
"'Chicken Little' ,"
"'Robots' ,"
"'Walk the Line' ,"
"'The Pacifier' ,"
"'Fun with Dick and Jane' ,"
"'The 40-Year-Old Virgin' ,"
"'Flightplan' ,"
"'Saw II' ,"
"'Brokeback Mountain' ,"
"'Monster-in-Law' ,"
"'Are We There Yet?' ,"
"'Cheaper by the Dozen 2' ,"
"'The Dukes of Hazzard' ,"
"'March of the Penguins' ,"
"'The Ring Two' ,"
"'Constantine' ,"
"'The Exorcism of Emily Rose' ,"
"'Four Brothers' ,"
"'Sin City' ,"
"'The Interpreter' ,"
"'Guess Who' ,"
"'Sahara' ,"
"'Coach Carter' ,"
"'Herbie: Fully Loaded' ,"
"'The Amityville Horror ' ,"
"'Sky High' ,"
"'Bewitched' ,"
"'Jarhead' ,"
"'Cinderella Man' ,"
"'The Family Stone' ,"
"'Red Eye' ,"
"'Memoirs of a Geisha' ,"
"'White Noise' ,"
"'Wallace and Gromit: The Curse of the Were-Rabbit' ,"
"'Be Cool' ,"
"'Crash' ,"
"'Yours, Mine and Ours' ,"
"'Tim Burtons Corpse Bride' ,"
"'Kicking and Screaming' ,"
"'Hoodwinked' ,"
"'Hide and Seek' ,"
"'The Hitchhikers Guide to the Galaxy' ,"
"'Syriana' ,"
"'Tyler Perrys Diary of a Mad Black Woman' ,"
"'Racing Stripes' ,"
"'Miss Congeniality 2: Armed and Fabulous' ,"
"'Just Like Heaven' ,"
"'The Skeleton Key' ,"
"'Munich' ,"
"'Kingdom of Heaven' ,"
"'Boogeyman' ,"
"'The Legend of Zorro' ,"
"'Must Love Dogs' ,"
"'Transporter 2' ,"
"'Rumor Has It' ,"
"'Fever Pitch' ,"
